name,price_at_scrape,price_reduction_rec_retail_at_scrape,scraoe_date
Neutrogena Body Oil Light Sesame 250mL,6.49,6.50,2021-03-28
Oral B Clinicals Mouth Rinse 1 Litre,6.49,6.50,2021-03-28
Neutrogena Rainbath refreshing shower and bath gel 250 mL,6.49,6.50,2021-03-28
Neutrogena Norwegian Formula Deep Moisture Body Lotion Sensitive 400ml,6.49,6.50,2021-03-28
Nature's Way Beauty Collagen Mature Skin 40 Gummies,18.49,6.50,2021-03-28
Nature's Way Joint Restore Osteo Krill 50caps,23.49,6.50,2021-03-28
Cetaphil Daily Advance Ultra Hydrating Lotion 226g,9.39,6.31,2021-03-28
Cetaphil Daily Advance Ultra Hydrating Lotion 226g,9.39,6.31,2021-03-28
Cetaphil Daily Advance Ultra Hydrating Lotion 226g,9.39,6.31,2021-03-28
Cetaphil Face Daily Hydrating Lotion with Hyaluronic Acid 88ml,13.99,6.00,2021-03-28
Cetaphil Face Rich Hydrating Night Cream with Hyaluronic Acid 48g,13.99,6.00,2021-03-28
Blackmores CoQ10 150mg 125 Capsules Exclusive Size,38.99,6.00,2021-03-28
Blackmores Curcumin One A Day 30 Capsules,19.99,6.00,2021-03-28
Wagner Mega B+ 100 Capsules,9.99,6.00,2021-03-28
Cetaphil Face Daily Hydrating Lotion with Hyaluronic Acid 88ml,13.99,6.00,2021-03-28
Cetaphil Face Rich Hydrating Night Cream with Hyaluronic Acid 48g,13.99,6.00,2021-03-28
Neutrogena Fresh Foaming Cleanser 200ml,5.99,6.00,2021-03-28
Curash Babycare Simply Water Wipes 6 x 80,17.99,6.00,2021-03-28
Blackmores I-Folic 150 Tablets,16.99,6.00,2021-03-28
Depend Unisex Underwear Super Plus Small & Medium 10 Pack,17.99,6.00,2021-03-28
Depend Unisex Underwear Super Plus Large 9 Pack,17.99,6.00,2021-03-28
Cetaphil Face Daily Hydrating Lotion with Hyaluronic Acid 88ml,13.99,6.00,2021-03-28
Gillette Venus Platinum Extra Smooth Razor 2 Up,13.99,6.00,2021-03-28
Gillette Fusion Pro Glide Flexball Power Razor,13.99,6.00,2021-03-28
Cetaphil Face Rich Hydrating Night Cream with Hyaluronic Acid 48g,13.99,6.00,2021-03-28
Gillette Fusion Pro Glide Flexball Power Razor,13.99,6.00,2021-03-28
Nature's Way SuperFoods Greens Plus Wild Reds 100g,16.99,6.00,2021-03-28
Nature's Way SuperFoods Greens Plus 100g,16.99,6.00,2021-03-28
Gillette Venus Platinum Extra Smooth Razor 2 Up,13.99,6.00,2021-03-28
Gillette Fusion Pro Glide Flexball Power Razor,13.99,6.00,2021-03-28
Gillette Venus Platinum Extra Smooth Razor 2 Up,13.99,6.00,2021-03-28
Cetaphil Moisture Cream 250g,8.39,5.76,2021-03-28
Cetaphil Moisture Cream 250g,8.39,5.76,2021-03-28
Cetaphil Moisture Cream 250g,8.39,5.76,2021-03-28
Depend Real Fit Underwear Male Large 8,8.39,5.60,2021-03-28
Depend Real Fit Underwear Male Medium 8,8.39,5.60,2021-03-28
Oral B Sensitive Clean Replacement Electric Toothbrush Heads 2 Refills,8.39,5.60,2021-03-28
Oral B Sensitive Clean Replacement Electric Toothbrush Heads 2 Refills,8.39,5.60,2021-03-28
Oral B Vitality Kids Frozen Power Refills 2 Pack,8.39,5.60,2021-03-28
Garnier SkinActive Micellar Cleansing Water 400mL,8.39,5.56,2021-03-28
Blackmores Bilberry Eye Support Advanced 30 Tablets,18.99,5.51,2021-03-28
Blackmores Sugar Balance 90 Tablets,16.99,5.51,2021-03-28
Blackmores Sugar Balance 90 Tablets,16.99,5.51,2021-03-28
La Roche Posay Effaclar Foaming Gel 400ml,31.49,5.46,2021-03-28
L'Oreal Paris Revitalift Filler [HA] Day Cream 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Laser x3 Night Cream Mask 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Filler Hyaluronic Acid Anti Wrinkle Serum 30ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Filler [HA] Night Moisturiser 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Filler [HA] Day Cream 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Filler Replumping Eye Cream 15ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Laser x3 Night Cream Mask 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Laser X3 Day Cream 50ml,39.49,5.46,2021-03-28
L'Oreal Paris Revitalift Laser Eye Cream 15ml,39.49,5.46,2021-03-28
Neutrogena Oil Free Eye Makeup Remover 112ml,5.44,5.45,2021-03-28
Neutrogena Alcohol Free Toner 150ml,5.44,5.45,2021-03-28
Aveeno Baby Daily Moisture Fragrance Free Lotion 532mL,12.59,5.40,2021-03-28
Aveeno Baby Daily Moisture Lightly Scented Wash & Shampoo 532mL,12.59,5.40,2021-03-28
Aveeno Baby Daily Moisture Fragrance Free Lotion 532mL,12.59,5.40,2021-03-28
Aveeno Dermexa Daily Emollient Body Wash 280mL,11.69,5.30,2021-03-28
Aveeno Active Naturals Daily Moisturising Fragrance Free Lotion 532mL,11.69,5.30,2021-03-28
Aveeno Skin Relief Moisture Repair Cream 311g,11.69,5.30,2021-03-28
Cetaphil Face Gentle Foaming Cleanser 236ml,11.69,5.30,2021-03-28
Gillette Fusion Manual Razor 2 Up,11.69,5.30,2021-03-28
Cetaphil Face Gentle Foaming Cleanser 236ml,11.69,5.30,2021-03-28
Gillette Fusion Manual Razor 2 Up,11.69,5.30,2021-03-28
Cetaphil Face Gentle Foaming Cleanser 236ml,11.69,5.30,2021-03-28
Gillette Fusion Manual Razor 2 Up,11.69,5.30,2021-03-28
L'Oreal Paris Age Perfect Toner 200ml,9.69,5.26,2021-03-28
Depend Women Real Fit Underwear 8 Medium,7.79,5.20,2021-03-28
Depend Real Fit Underwear Female X Large 8,7.79,5.20,2021-03-28
Depend Women Real Fit Underwear 8 Large,7.79,5.20,2021-03-28
Depend for Men Guards 20 Bulk Pack,7.79,5.20,2021-03-28
Curash Baby Wipes Original Vitamin E 3 x 80 Bulk Pack,8.79,5.20,2021-03-28
Curash Babycare Aloe Vera & Chamomile Wipes 3 x 80,8.79,5.20,2021-03-28
Curash Babycare Fragrance Free Wipes 3 x 80,8.79,5.20,2021-03-28
Oral B All Rounder Fresh Clean Toothbrush Medium 5 Pack,5.19,5.20,2021-03-28
Oral B Fresh Clean Toothbrush Soft 5 Pack,5.19,5.20,2021-03-28
Oral B All Rounder Fresh Clean Toothbrush Medium 5 Pack,5.19,5.20,2021-03-28
Oral B Fresh Clean Toothbrush Soft 5 Pack,5.19,5.20,2021-03-28
Oral Seven Mouth Gel 40mL(50g),14.49,5.16,2021-03-28
Oral Seven Mouthwash 500ml,14.49,5.16,2021-03-28
Oral B Toothpaste 3D White Brilliance Fresh Lotus 120g,4.99,5.00,2021-03-28
Oral B Toothpaste Sensitivity and Gum Extra Fresh Breath 90g,4.99,5.00,2021-03-28
Oral B Toothpaste Sensitivity and Gum All Day Protection 90g,4.99,5.00,2021-03-28
Oral B Toothbrush Clic 1 Pack,24.99,5.00,2021-03-28
Oral B Toothpaste Sensitivity and Gum Extra Fresh Breath 90g,4.99,5.00,2021-03-28
Oral B Toothpaste 3D White Brilliance Fresh Lotus 120g,4.99,5.00,2021-03-28
Oral B Toothbrush Clic 1 Pack,24.99,5.00,2021-03-28
Oral B Toothpaste 3D White Brilliance Charcoal 120g,4.99,5.00,2021-03-28
Oral B Toothpaste Gum Care & Bacteria Defence 110g,4.99,5.00,2021-03-28
Oral B Toothpaste Gum Care & Intensive Clean 110g,4.99,5.00,2021-03-28
Oral B Toothpaste Sensitivity and Gum All Day Protection 90g,4.99,5.00,2021-03-28
Oral B Gum Care & Sensitivity Repair Toothpaste 110g,4.99,5.00,2021-03-28
Oral B Gum Care & Enamel Restore Toothpaste 110g,4.99,5.00,2021-03-28
Oral B Gum Care & Whitening Toothpaste 110g,4.99,5.00,2021-03-28
